State,State_short,Max_Week_Day,Week,Year,New_Case,New_Death,Share_Vaccination,New_Case_per_100,New_Death_per_100,Index3
Mississippi,MS,04/10/2021,40,2021,4707,63,50.7,0.04707,0.00063,28
Montana,MT,04/10/2021,40,2021,6739,64,55.4,0.06739,0.00064,28
Iowa,IA,04/10/2021,40,2021,8995,91,58.6,0.08995,0.00091,28
Massachusetts,MA,04/10/2021,40,2021,9925,104,78.2,0.09925,0.00104,28
Arkansas,AR,04/10/2021,40,2021,4829,107,56.3,0.04829,0.00107,28
Wisconsin,WI,04/10/2021,40,2021,20603,110,61.6,0.20603,0.0011,28
Maryland,MD,04/10/2021,40,2021,7729,114,71.4,0.07729,0.00114,28
Nevada,NV,04/10/2021,40,2021,4218,122,61.6,0.04218,0.00122,28
New Jersey,NJ,04/10/2021,40,2021,11962,125,73.3,0.11962,0.00125,28
Minnesota,MN,04/10/2021,40,2021,20743,137,64,0.20743,0.00137,28
Colorado,CO,04/10/2021,40,2021,15529,140,66.1,0.15529,0.0014,28
Michigan,MI,04/10/2021,40,2021,29609,149,57.5,0.29609,0.00149,28
Idaho,ID,04/10/2021,40,2021,8442,158,47.8,0.08442,0.00158,28
Missouri,MO,04/10/2021,40,2021,9086,170,55.5,0.09086,0.0017,28
New York,NY,04/10/2021,40,2021,23779,170,72.2,0.23779,0.0017,28
Oregon,OR,04/10/2021,40,2021,9277,171,67.2,0.09277,0.00171,28
Louisiana,LA,04/10/2021,40,2021,5335,183,52.3,0.05335,0.00183,28
West Virginia,WV,04/10/2021,40,2021,8396,213,48.5,0.08396,0.00213,28
Arizona,AZ,04/10/2021,40,2021,16252,216,59.9,0.16252,0.00216,28
Oklahoma,OK,04/10/2021,40,2021,8906,224,57.4,0.08906,0.00224,28
Illinois,IL,04/10/2021,40,2021,18830,247,69.2,0.1883,0.00247,28
Alabama,AL,04/10/2021,40,2021,7621,257,53.2,0.07621,0.00257,28
Washington,WA,04/10/2021,40,2021,16580,257,68,0.1658,0.00257,28
Virginia,VA,04/10/2021,40,2021,17606,272,69.2,0.17606,0.00272,28
Indiana,IN,04/10/2021,40,2021,16007,289,52.8,0.16007,0.00289,28
Kentucky,KY,04/10/2021,40,2021,13365,312,61.6,0.13365,0.00312,28
Tennessee,TN,04/10/2021,40,2021,16349,315,53.3,0.16349,0.00315,28
South Carolina,SC,04/10/2021,40,2021,12410,370,56,0.1241,0.0037,28
North Carolina,NC,04/10/2021,40,2021,23162,380,61.2,0.23162,0.0038,28
Pennsylvania,PA,04/10/2021,40,2021,36773,419,74.1,0.36773,0.00419,28
